数据库：年度数据
时间：最近20年
时间,年末总人口(万人),男性人口(万人),女性人口(万人),城镇人口(万人),乡村人口(万人)
2018年,139538,71351,68187,83137,56401
2017年,139008,71137,67871,81347,57661
2016年,138271,70815,67456,79298,58973
2015年,137462,70414,67048,77116,60346
2014年,136782,70079,66703,74916,61866
2013年,136072,69728,66344,73111,62961
2012年,135404,69395,66009,71182,64222
2011年,134735,69068,65667,69079,65656
2010年,134091,68748,65343,66978,67113
2009年,133450,68647,64803,64512,68938
2008年,132802,68357,64445,62403,70399
2007年,132129,68048,64081,60633,71496
2006年,131448,67728,63720,58288,73160
2005年,130756,67375,63381,56212,74544
2004年,129988,66976,63012,54283,75705
2003年,129227,66556,62671,52376,76851
2002年,128453,66115,62338,50212,78241
2001年,127627,65672,61955,48064,79563
2000年,126743,65437,61306,45906,80837
1999年,125786,64692,61094,43748,82038
注：1981年及以前人口数据为户籍统计数；1982、1990、2000、2010年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
